Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
227.0,227.09970092773438,226.4600067138672,226.6199951171875,2508864,0.0,0.0,
226.75,227.0,226.1300048828125,226.2698974609375,689074,0.0,0.0,
226.25,226.33999633789062,225.91000366210938,225.9499969482422,665431,0.0,0.0,
226.0,226.4600067138672,225.88999938964844,226.23989868164062,823140,0.0,0.0,
226.14999389648438,226.67999267578125,226.0399932861328,226.38499450683594,623631,0.0,0.0,226.29295654296874
226.3800048828125,226.5800018310547,226.2100067138672,226.52000427246094,526097,0.0,0.0,226.27295837402343
226.50999450683594,226.94000244140625,226.0500030517578,226.89999389648438,639478,0.0,0.0,226.39897766113282
226.8699951171875,226.9499969482422,226.5399932861328,226.66000366210938,385427,0.0,0.0,226.54097900390624
226.83999633789062,226.83999633789062,226.5800018310547,226.63999938964844,297755,0.0,0.0,226.62099914550782
226.6300048828125,226.6999969482422,226.4633026123047,226.60000610351562,229490,0.0,0.0,226.66400146484375
226.4700927734375,227.05999755859375,226.47000122070312,227.05999755859375,366847,0.0,0.0,226.77200012207032
226.99000549316406,227.07000732421875,226.85000610351562,226.89999389648438,312814,0.0,0.0,226.77200012207032
226.91000366210938,227.07000732421875,226.52999877929688,227.07000732421875,403321,0.0,0.0,226.8540008544922
227.05499267578125,227.94000244140625,227.02999877929688,227.83999633789062,691903,0.0,0.0,227.09400024414063
227.82009887695312,228.07000732421875,227.54200744628906,228.00660705566406,768747,0.0,0.0,227.3753204345703
228.02999877929688,228.5,227.63999938964844,227.85000610351562,801014,0.0,0.0,227.5333221435547
227.8800048828125,227.91619873046875,227.39999389648438,227.6699981689453,464597,0.0,0.0,227.68732299804688
227.67999267578125,227.6999969482422,227.1501007080078,227.16000366210938,470946,0.0,0.0,227.705322265625
227.19000244140625,227.6300048828125,227.02999877929688,227.57000732421875,475162,0.0,0.0,227.6513244628906
227.57000732421875,227.94000244140625,227.5500030517578,227.68800354003906,283712,0.0,0.0,227.5876037597656
227.69000244140625,227.6999969482422,227.08999633789062,227.14999389648438,346849,0.0,0.0,227.44760131835938
227.14500427246094,227.38949584960938,226.92999267578125,226.9499969482422,285019,0.0,0.0,227.30360107421876
226.960205078125,227.30999755859375,226.9001007080078,227.16000366210938,369806,0.0,0.0,227.30360107421876
227.1999969482422,227.39990234375,226.85009765625,227.3896942138672,289309,0.0,0.0,227.26753845214844
227.38650512695312,227.44000244140625,226.67999267578125,226.73599243164062,317586,0.0,0.0,227.07713623046874
226.73500061035156,227.0196990966797,226.73500061035156,226.9199981689453,676143,0.0,0.0,227.03113708496093
226.89999389648438,227.414794921875,226.88999938964844,227.38999938964844,361231,0.0,0.0,227.1191375732422
227.3800048828125,227.4499969482422,227.14999389648438,227.2100067138672,265684,0.0,0.0,227.12913818359374
227.24000549316406,227.64999389648438,227.24000549316406,227.6300048828125,234719,0.0,0.0,227.1772003173828
227.62010192871094,227.82000732421875,227.61000061035156,227.6999969482422,200808,0.0,0.0,227.37000122070313
227.69000244140625,227.6999969482422,227.22999572753906,227.29989624023438,179629,0.0,0.0,227.44598083496095
227.29469299316406,227.5019989013672,227.24009704589844,227.331298828125,153820,0.0,0.0,227.43424072265626
227.32000732421875,227.41000366210938,227.08700561523438,227.1199951171875,154624,0.0,0.0,227.4162384033203
227.14999389648438,227.2550048828125,227.08030700683594,227.17010498046875,117599,0.0,0.0,227.32425842285156
227.1501007080078,227.24000549316406,227.01400756835938,227.1699981689453,184509,0.0,0.0,227.2182586669922
227.18499755859375,227.42849731445312,227.173095703125,227.30999755859375,146026,0.0,0.0,227.22027893066405
227.31500244140625,227.3699951171875,227.19000244140625,227.19500732421875,108374,0.0,0.0,227.19302062988282
227.19000244140625,227.32000732421875,227.14999389648438,227.3000030517578,110561,0.0,0.0,227.22902221679686
227.281005859375,227.32000732421875,226.9980010986328,227.32000732421875,129087,0.0,0.0,227.25900268554688
227.3249969482422,227.39999389648438,227.24000549316406,227.24000549316406,111175,0.0,0.0,227.27300415039062
227.23500061035156,227.24000549316406,227.10369873046875,227.2064971923828,157143,0.0,0.0,227.25230407714844
227.20260620117188,227.28729248046875,227.10000610351562,227.25669860839844,132424,0.0,0.0,227.26464233398437
227.24000549316406,227.25,226.9739990234375,227.15390014648438,189327,0.0,0.0,227.23542175292968
227.14999389648438,227.1999053955078,227.00999450683594,227.08999633789062,119379,0.0,0.0,227.18941955566407
227.0885009765625,227.2899932861328,226.92999267578125,226.9499969482422,173681,0.0,0.0,227.13141784667968
226.96060180664062,227.11000061035156,226.6699981689453,226.80999755859375,215322,0.0,0.0,227.05211791992187
226.8105010986328,227.02000427246094,226.74009704589844,226.8000030517578,192875,0.0,0.0,226.96077880859374
226.8000030517578,227.1999053955078,226.77999877929688,227.15499877929688,180019,0.0,0.0,226.96099853515625
227.15499877929688,227.44000244140625,227.14999389648438,227.39999389648438,247698,0.0,0.0,227.022998046875
227.35299682617188,227.4199981689453,227.30999755859375,227.39500427246094,174624,0.0,0.0,227.11199951171875
227.41000366210938,227.47999572753906,227.30999755859375,227.4499969482422,189745,0.0,0.0,227.23999938964843
227.44000244140625,227.49000549316406,227.3350067138672,227.4600067138672,194802,0.0,0.0,227.37200012207032
227.4499969482422,227.49000549316406,227.26499938964844,227.360107421875,182523,0.0,0.0,227.41302185058595
227.3800048828125,227.3800048828125,227.05499267578125,227.13499450683594,181966,0.0,0.0,227.36002197265626
227.14999389648438,227.2550048828125,227.08999633789062,227.1147003173828,150379,0.0,0.0,227.30396118164063
